[21468:9944:0511/090430.090:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[21468:9724:0511/090430.168:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[21468:9944:0511/090430.200:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[21468:1968:0511/090434.744:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\caspe\Documents\GitHub\Project-publish\ProjectPublish\Saved\webcache_6613_1\Default\shared_proto_db\metadata: IO error: C:\Users\caspe\Documents\GitHub\Project-publish\ProjectPublish\Saved\webcache_6613_1\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[21468:1968:0511/090434.746:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\caspe\Documents\GitHub\Project-publish\ProjectPublish\Saved\webcache_6613_1\Default\shared_proto_db\metadata: IO error: C:\Users\caspe\Documents\GitHub\Project-publish\ProjectPublish\Saved\webcache_6613_1\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[21468:1968:0511/090434.749:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\caspe\Documents\GitHub\Project-publish\ProjectPublish\Saved\webcache_6613_1\Default\shared_proto_db\metadata: IO error: C:\Users\caspe\Documents\GitHub\Project-publish\ProjectPublish\Saved\webcache_6613_1\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[21468:1968:0511/090434.751:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\caspe\Documents\GitHub\Project-publish\ProjectPublish\Saved\webcache_6613_1\Default\shared_proto_db\metadata: IO error: C:\Users\caspe\Documents\GitHub\Project-publish\ProjectPublish\Saved\webcache_6613_1\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[21468:9536:0511/090435.219:WARNING:value_store_frontend.cc(47)] Reading ahfgeienlihckogmohjhadlkjgocpleb.alarms from  failed: IO error: .../MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[21468:9536:0511/090435.220:WARNING:value_store_frontend.cc(47)] Reading mhjfbmdgcfjbbpaeojofohoefgiehjai.alarms from  failed: IO error: .../MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[3996:22364:0511/090436.156:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-30D92DF5BFA4DC9E294F6E8D74CF096F will be ignored
[21468:9944:0511/091148.082:ERROR:device_event_log_impl.cc(196)] [09:11:47.581] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[21468:9944:0511/091148.082:ERROR:device_event_log_impl.cc(196)] [09:11:47.591] USB: usb_service_win.cc:308 SetupDiEnumDeviceInterfaces: No more data is available. (0x103)
[21468:9944:0511/091148.082:ERROR:device_event_log_impl.cc(196)] [09:11:48.083] USB: usb_service_win.cc:705 Got duplicate add event for path: \\?\usb#vid_03f0&pid_124c#(null)#{a5dcbf10-6530-11d2-901f-00c04fb951ed}
[21468:9944:0511/091148.082:ERROR:device_event_log_impl.cc(196)] [09:11:47.615] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[21468:9944:0511/091148.082:ERROR:device_event_log_impl.cc(196)] [09:11:47.624] USB: usb_service_win.cc:308 SetupDiEnumDeviceInterfaces: No more data is available. (0x103)
[21468:9944:0511/091148.082:ERROR:device_event_log_impl.cc(196)] [09:11:48.083] USB: usb_service_win.cc:705 Got duplicate add event for path: \\?\usb#vid_03f0&pid_124c#(null)#{a5dcbf10-6530-11d2-901f-00c04fb951ed}
[21468:9944:0511/091148.082:ERROR:device_event_log_impl.cc(196)] [09:11:47.650] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[21468:9944:0511/091148.082:ERROR:device_event_log_impl.cc(196)] [09:11:47.659] USB: usb_service_win.cc:308 SetupDiEnumDeviceInterfaces: No more data is available. (0x103)
[21468:9944:0511/091148.082:ERROR:device_event_log_impl.cc(196)] [09:11:48.083] USB: usb_service_win.cc:705 Got duplicate add event for path: \\?\usb#vid_03f0&pid_124c#(null)#{a5dcbf10-6530-11d2-901f-00c04fb951ed}
[21468:9944:0511/091148.082:ERROR:device_event_log_impl.cc(196)] [09:11:47.683] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[21468:9944:0511/091148.082:ERROR:device_event_log_impl.cc(196)] [09:11:47.693] USB: usb_service_win.cc:308 SetupDiEnumDeviceInterfaces: No more data is available. (0x103)
[21468:9944:0511/091148.165:ERROR:device_event_log_impl.cc(196)] [09:11:48.165] USB: usb_service_win.cc:705 Got duplicate add event for path: \\?\usb#vid_03f0&pid_124c#(null)#{a5dcbf10-6530-11d2-901f-00c04fb951ed}
[21468:9944:0511/091148.439:ERROR:device_event_log_impl.cc(196)] [09:11:48.189] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[21468:9944:0511/091148.439:ERROR:device_event_log_impl.cc(196)] [09:11:48.324] USB: usb_service_win.cc:308 SetupDiEnumDeviceInterfaces: No more data is available. (0x103)
[21468:9944:0511/091148.765:ERROR:device_event_log_impl.cc(196)] [09:11:48.476] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[21468:9944:0511/091148.765:ERROR:device_event_log_impl.cc(196)] [09:11:48.513] USB: usb_service_win.cc:308 SetupDiEnumDeviceInterfaces: No more data is available. (0x103)
[21468:9944:0511/091148.765:ERROR:device_event_log_impl.cc(196)] [09:11:48.764] USB: usb_service_win.cc:705 Got duplicate add event for path: \\?\usb#vid_03f0&pid_124c#(null)#{a5dcbf10-6530-11d2-901f-00c04fb951ed}
[21468:9944:0511/091148.765:ERROR:device_event_log_impl.cc(196)] [09:11:48.622] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[21468:9944:0511/091148.765:ERROR:device_event_log_impl.cc(196)] [09:11:48.658] USB: usb_service_win.cc:308 SetupDiEnumDeviceInterfaces: No more data is available. (0x103)
[21468:9944:0511/091148.765:ERROR:device_event_log_impl.cc(196)] [09:11:48.764] USB: usb_service_win.cc:705 Got duplicate add event for path: \\?\usb#vid_03f0&pid_124c#(null)#{a5dcbf10-6530-11d2-901f-00c04fb951ed}
[21468:9944:0511/091148.765:ERROR:device_event_log_impl.cc(196)] [09:11:48.752] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[21468:9944:0511/091149.099:ERROR:device_event_log_impl.cc(196)] [09:11:48.795] USB: usb_service_win.cc:308 SetupDiEnumDeviceInterfaces: No more data is available. (0x103)
[21468:9944:0511/091149.099:ERROR:device_event_log_impl.cc(196)] [09:11:48.889] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[21468:9944:0511/091149.099:ERROR:device_event_log_impl.cc(196)] [09:11:48.923] USB: usb_service_win.cc:308 SetupDiEnumDeviceInterfaces: No more data is available. (0x103)
[21468:9944:0511/091149.099:ERROR:device_event_log_impl.cc(196)] [09:11:49.099] USB: usb_service_win.cc:705 Got duplicate add event for path: \\?\usb#vid_03f0&pid_124c#(null)#{a5dcbf10-6530-11d2-901f-00c04fb951ed}
[21468:9944:0511/091149.099:ERROR:device_event_log_impl.cc(196)] [09:11:49.018] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[21468:9944:0511/091149.099:ERROR:device_event_log_impl.cc(196)] [09:11:49.053] USB: usb_service_win.cc:308 SetupDiEnumDeviceInterfaces: No more data is available. (0x103)
[21468:9944:0511/091149.429:ERROR:device_event_log_impl.cc(196)] [09:11:49.153] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[21468:9944:0511/091149.429:ERROR:device_event_log_impl.cc(196)] [09:11:49.189] USB: usb_service_win.cc:308 SetupDiEnumDeviceInterfaces: No more data is available. (0x103)
[21468:9944:0511/092501.723:ERROR:device_event_log_impl.cc(196)] [09:25:01.712] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[21468:9944:0511/092501.743:ERROR:device_event_log_impl.cc(196)] [09:25:01.724] USB: usb_service_win.cc:308 SetupDiEnumDeviceInterfaces: No more data is available. (0x103)
[21468:9944:0511/092501.859:ERROR:device_event_log_impl.cc(196)] [09:25:01.833] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[21468:9536:0511/101811.824:WARNING:dns_config_service_win.cc(605)] Failed to read DnsConfig.
[9692:21604:0511/101811.828:WARNING:dns_config_service_win.cc(605)] Failed to read DnsConfig.
[21468:9944:0511/101814.138:ERROR:device_event_log_impl.cc(196)] [10:18:14.138] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[21468:9944:0511/101814.471:ERROR:device_event_log_impl.cc(196)] [10:18:14.156] USB: usb_service_win.cc:308 SetupDiEnumDeviceInterfaces: No more data is available. (0x103)
[21468:9944:0511/101814.471:ERROR:device_event_log_impl.cc(196)] [10:18:14.163] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[21468:9944:0511/111334.176:WARNING:page_discarding_helper.cc(138)] Discarding multiple pages with target (kb): 0
[21468:9944:0511/121409.636:WARNING:pref_notifier_impl.cc(41)] Pref observer for media_router.cast_allow_all_ips found at shutdown.
